Edge Density,a) runtime,b) runtime
0.01,399,375
0.02,158,154
0.03,162,150
0.04,208,249
0.05,166,154
0.06,437,358
0.07,162,166
0.08,712,558
0.09,175,141
0.1,200,171
0.11,841,691
0.12,633,629
0.13,787,625
0.14,296,262
0.15,941,829
0.16,962,1016
0.17,808,1216
0.18,841,908
0.19,849,991
0.2,866,916
0.21,1258,949
0.22,833,970
0.23,879,9037
0.24,858,1566
0.25,866,987
0.26,870,945
0.27,833,1500
0.28,916,1083
0.29,887,1083
0.3,866,1149
0.31,908,1104
0.32,925,1366
0.33,895,1341
0.34,925,1349
0.35,929,1770
0.36,995,1350
0.37,916,1395
0.38,970,1520
0.39,954,1270
0.4,945,1487
0.41,870,1845
0.42,937,1504
0.43,991,1579
0.44,920,1641
0.45,970,1404
0.46,962,1983
0.47,958,1650
0.48,966,1537
0.49,941,1887
0.5,933,1962
0.51,908,2054
0.52,912,1737
0.53,991,1762
0.54,950,1945
0.55,966,2441
0.56,950,1866
0.57,1016,2154
0.58,887,2183
0.59,904,1795
0.6,983,2262
0.61,921,2204
0.62,975,1920
0.63,933,2104
0.64,941,2420
0.65,908,2216
0.66,2541,2070
0.67,946,1954
0.68,941,2479
0.69,916,2054
0.7,945,2445
0.71,970,2429
0.72,987,2312
0.73,933,2208
0.74,908,2596
0.75,912,2487
0.76,916,2612
0.77,904,2387
0.78,1037,2241
0.79,933,2658
0.8,912,2333
0.81,920,2941
0.82,925,2687
0.83,891,2191
0.84,891,2650
0.85,895,2504
0.86,970,2745
0.87,879,2762
0.88,941,2608
0.89,900,2441
0.9,891,2516
0.91,929,2637
0.92,904,2491
0.93,908,2516
0.94,916,3449
0.95,908,3020
0.96,1029,3129
0.97,983,3050
0.98,850,2579
0.99,833,2466
1,854,3016
